fire_id,fire_date,fire_latitude,fire_longitude,fire_frp,confidence,station_id,station_name,station_distance_km,fire_month,fire_year,avg_temp_30d,max_temp_30d,avg_max_temp_30d,total_precip_30d,days_without_rain,avg_wind_speed,max_wind_speed,avg_dewpoint,temp_precip_ratio
13247,2017-09-05,41.4214,-123.0162,45.0,98,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",164.3209534453473,9,2017,83.77333333333333,114.1,102.4,0.0,30,5.1,15.0,54.87333333333333,837.7333333333332
13248,2017-09-04,41.4215,-123.2671,9.8,79,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",180.2435455858327,9,2017,83.69,114.1,102.1,0.0,30,5.1466666666666665,15.0,54.883333333333326,836.9
13249,2017-08-26,41.4216,-123.1466,26.6,82,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",172.2318930052741,8,2017,83.66000000000001,108.0,100.9,0.0,30,5.01,15.0,58.57,836.6
13250,2017-09-04,41.4217,-123.3979,9.8,81,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",189.65144914859036,9,2017,83.69,114.1,102.1,0.0,30,5.1466666666666665,15.0,54.883333333333326,836.9
13251,2017-09-04,41.4218,-123.437,9.7,61,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",192.5903334281655,9,2017,83.69,114.1,102.1,0.0,30,5.1466666666666665,15.0,54.883333333333326,836.9
13252,2017-09-02,41.4218,-123.1514,11.7,83,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",172.5568109927508,9,2017,83.64333333333335,113.0,101.69333333333334,0.0,30,5.223333333333333,15.0,55.60333333333333,836.4333333333334
13253,2017-08-31,41.4218,-123.0265,44.0,80,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",164.94986037945586,8,2017,83.77666666666667,111.0,101.62333333333335,0.0,30,5.140000000000001,15.0,57.04999999999999,837.7666666666667
13254,2017-08-31,41.4219,-123.4097,11.0,75,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",190.5466817248943,8,2017,83.77666666666667,111.0,101.62333333333335,0.0,30,5.140000000000001,15.0,57.04999999999999,837.7666666666667
13255,2017-08-26,41.422,-123.0703,67.3,97,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",167.54487555664025,8,2017,83.66000000000001,108.0,100.9,0.0,30,5.01,15.0,58.57,836.6
13256,2017-09-02,41.4221,-123.4392,18.6,100,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",192.7811619802986,9,2017,83.64333333333335,113.0,101.69333333333334,0.0,30,5.223333333333333,15.0,55.60333333333333,836.4333333333334
13257,2017-08-24,41.4221,-123.1231,57.2,89,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",170.79178967058098,8,2017,83.67333333333333,108.0,100.83333333333334,0.0,30,5.073333333333333,15.0,58.21999999999999,836.7333333333332
13258,2017-09-04,41.4222,-122.9976,81.4,100,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",163.3452884139242,9,2017,83.69,114.1,102.1,0.0,30,5.1466666666666665,15.0,54.883333333333326,836.9
13259,2017-09-02,41.4224,-123.1511,6.3,68,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",172.59202336236223,9,2017,83.64333333333335,113.0,101.69333333333334,0.0,30,5.223333333333333,15.0,55.60333333333333,836.4333333333334
13260,2017-09-01,41.4224,-123.1457,46.2,96,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",172.2471926462034,9,2017,83.62666666666668,111.0,101.52666666666667,0.0,30,5.173333333333333,15.0,56.52666666666666,836.2666666666668
13261,2017-09-02,41.4225,-123.3846,15.0,93,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",188.73327232017746,9,2017,83.64333333333335,113.0,101.69333333333334,0.0,30,5.223333333333333,15.0,55.60333333333333,836.4333333333334
13262,2017-09-05,41.4225,-123.1933,153.4,97,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",175.34296564675736,9,2017,83.77333333333333,114.1,102.4,0.0,30,5.1,15.0,54.87333333333333,837.7333333333332
13263,2017-09-04,41.4226,-123.2608,16.3,72,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",179.90413435090443,9,2017,83.69,114.1,102.1,0.0,30,5.1466666666666665,15.0,54.883333333333326,836.9
13264,2017-09-06,41.4226,-123.214,28.3,83,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",176.7266119323181,9,2017,83.82,114.1,102.5,0.0,30,5.113333333333333,15.0,54.913333333333334,838.1999999999999
13265,2017-08-28,41.4227,-123.0527,12.6,64,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",166.56328135838368,8,2017,83.55,111.0,101.20000000000002,0.0,30,5.05,15.0,57.73,835.4999999999999
13266,2017-08-23,41.423,-123.0611,131.4,98,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",167.08906511882242,8,2017,83.77,108.0,100.9,0.0,30,5.123333333333333,15.0,57.89999999999999,837.6999999999999
13267,2017-09-01,41.4231,-123.0501,64.4,91,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",166.44763824650693,9,2017,83.62666666666668,111.0,101.52666666666667,0.0,30,5.173333333333333,15.0,56.52666666666666,836.2666666666668
13268,2017-09-02,41.4231,-123.0445,12.3,86,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",166.11878979193176,9,2017,83.64333333333335,113.0,101.69333333333334,0.0,30,5.223333333333333,15.0,55.60333333333333,836.4333333333334
13269,2017-08-26,41.4232,-123.1336,14.2,64,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",171.55264522049248,8,2017,83.66000000000001,108.0,100.9,0.0,30,5.01,15.0,58.57,836.6
13270,2017-09-04,41.4233,-123.4095,55.8,100,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",190.64675582498614,9,2017,83.69,114.1,102.1,0.0,30,5.1466666666666665,15.0,54.883333333333326,836.9
13271,2017-08-29,41.4235,-123.4222,39.3,65,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",191.6137076737104,8,2017,83.62333333333335,111.0,101.43333333333334,0.0,30,5.036666666666667,15.0,57.36666666666667,836.2333333333335
13272,2017-08-26,41.4235,-123.0581,18.6,76,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",166.95784903727025,8,2017,83.66000000000001,108.0,100.9,0.0,30,5.01,15.0,58.57,836.6
13273,2017-08-31,41.4236,-123.3947,13.0,82,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",189.57097990756426,8,2017,83.77666666666667,111.0,101.62333333333335,0.0,30,5.140000000000001,15.0,57.04999999999999,837.7666666666667
13274,2017-08-28,41.4238,-123.3854,11.6,78,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",188.90011660215626,8,2017,83.55,111.0,101.20000000000002,0.0,30,5.05,15.0,57.73,835.4999999999999
13275,2017-09-04,41.424,-123.2528,17.1,95,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",179.47653466706987,9,2017,83.69,114.1,102.1,0.0,30,5.1466666666666665,15.0,54.883333333333326,836.9
13276,2017-08-30,41.4241,-123.4081,14.8,67,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",190.60809465088394,8,2017,83.75333333333333,111.0,101.59333333333333,0.0,30,5.073333333333334,15.0,57.15333333333333,837.5333333333333
13277,2017-09-11,41.4241,-123.209,12.3,84,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",176.52596403573688,9,2017,83.31666666666668,114.1,102.26666666666667,0.47,28,5.256666666666665,17.1,55.019999999999996,146.1695906432749
13278,2017-09-10,41.4243,-123.2048,37.2,89,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",176.26441951464372,9,2017,83.27333333333335,114.1,102.03333333333335,0.47,28,5.209999999999999,17.1,55.190000000000005,146.09356725146205
13279,2017-07-09,41.4245,-123.154,36.8,87,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",172.96810481166196,7,2017,82.69000000000001,113.0,99.37333333333335,0.03,29,7.136666666666667,21.0,51.55999999999999,636.0769230769231
13280,2017-08-31,41.4246,-123.4181,18.8,80,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",191.39633567581677,8,2017,83.77666666666667,111.0,101.62333333333335,0.0,30,5.140000000000001,15.0,57.04999999999999,837.7666666666667
13281,2017-08-26,41.4246,-123.4114,20.4,75,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",190.89537615974902,8,2017,83.66000000000001,108.0,100.9,0.0,30,5.01,15.0,58.57,836.6
13282,2017-08-28,41.4246,-123.0408,38.0,90,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",166.04407404634503,8,2017,83.55,111.0,101.20000000000002,0.0,30,5.05,15.0,57.73,835.4999999999999
13283,2017-08-30,41.4247,-123.4293,139.8,100,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",192.24542755971103,8,2017,83.75333333333333,111.0,101.59333333333333,0.0,30,5.073333333333334,15.0,57.15333333333333,837.5333333333333
13284,2017-08-30,41.4247,-123.41,67.3,100,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",190.7991173863078,8,2017,83.75333333333333,111.0,101.59333333333333,0.0,30,5.073333333333334,15.0,57.15333333333333,837.5333333333333
13285,2017-09-06,41.4247,-123.2016,117.0,100,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",176.08776974775427,9,2017,83.82,114.1,102.5,0.0,30,5.113333333333333,15.0,54.913333333333334,838.1999999999999
13286,2017-07-07,41.4248,-123.1726,30.4,76,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",174.19468033357415,7,2017,81.39,113.0,97.90333333333334,0.13,28,7.416666666666667,21.0,52.11333333333332,353.8695652173913
13287,2017-09-04,41.4249,-123.421,18.2,100,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",191.6382107971433,9,2017,83.69,114.1,102.1,0.0,30,5.1466666666666665,15.0,54.883333333333326,836.9
13288,2017-09-03,41.4249,-123.4096,74.0,86,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",190.7857226098276,9,2017,83.63000000000001,114.1,101.89666666666668,0.0,30,5.206666666666666,15.0,54.98,836.3000000000001
13289,2017-08-24,41.4249,-123.1432,23.4,100,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",172.31551258403283,8,2017,83.67333333333333,108.0,100.83333333333334,0.0,30,5.073333333333333,15.0,58.21999999999999,836.7333333333332
13290,2017-07-15,41.425,-116.7378,48.1,84,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",628.4791552019688,7,2017,86.79333333333331,113.0,103.9,0.0,30,6.823333333333332,21.0,52.98999999999999,867.933333333333
13291,2017-09-02,41.4251,-123.2616,24.0,100,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",180.17685384590928,9,2017,83.64333333333335,113.0,101.69333333333334,0.0,30,5.223333333333333,15.0,55.60333333333333,836.4333333333334
13292,2017-09-01,41.4251,-123.059,60.1,96,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",167.16135304497286,9,2017,83.62666666666668,111.0,101.52666666666667,0.0,30,5.173333333333333,15.0,56.52666666666666,836.2666666666668
13293,2017-08-30,41.4256,-123.4232,26.2,90,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",191.86050210964225,8,2017,83.75333333333333,111.0,101.59333333333333,0.0,30,5.073333333333334,15.0,57.15333333333333,837.5333333333333
13294,2017-08-28,41.4257,-123.3806,15.3,90,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",188.70453847424582,8,2017,83.55,111.0,101.20000000000002,0.0,30,5.05,15.0,57.73,835.4999999999999
13295,2017-07-15,41.4258,-116.9082,29.3,69,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",610.0845250809272,7,2017,86.79333333333331,113.0,103.9,0.0,30,6.823333333333332,21.0,52.98999999999999,867.933333333333
13296,2017-07-08,41.426,-123.1607,14.0,57,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",173.53400003257656,7,2017,81.83,113.0,98.47333333333333,0.13,28,7.379999999999999,21.0,51.99999999999999,355.78260869565213
13297,2017-09-04,41.426,-123.0264,306.5,100,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",165.34269397419428,9,2017,83.69,114.1,102.1,0.0,30,5.1466666666666665,15.0,54.883333333333326,836.9
13298,2017-08-25,41.4261,-123.1281,19.3,66,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",171.47166326655875,8,2017,83.70666666666668,108.0,100.9,0.0,30,5.029999999999999,15.0,58.49333333333333,837.0666666666667
13299,2017-09-04,41.4261,-123.0353,29.0,88,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",165.86605792146915,9,2017,83.69,114.1,102.1,0.0,30,5.1466666666666665,15.0,54.883333333333326,836.9
13300,2017-08-26,41.4263,-123.3986,16.6,66,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",190.08313306399936,8,2017,83.66000000000001,108.0,100.9,0.0,30,5.01,15.0,58.57,836.6
13301,2017-08-28,41.4263,-123.1426,41.9,83,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",172.40489362772175,8,2017,83.55,111.0,101.20000000000002,0.0,30,5.05,15.0,57.73,835.4999999999999
