latitude,longitude,acq_date,satellite,instrument,frp,type,bright_t31,confidence,year,month,datetime
38.7412,-122.7918,2019-10-24,Terra,MODIS,166.9,0,293.9,87,2019,10,2019-10-24
38.7414,-122.84,2019-10-24,Terra,MODIS,8.3,0,292.2,73,2019,10,2019-10-24
38.7421,-121.4321,2019-09-20,Aqua,MODIS,54.8,0,304.2,76,2019,9,2019-09-20
38.7428,-122.8277,2019-10-24,Terra,MODIS,13.7,0,294.0,95,2019,10,2019-10-24
38.7433,-121.7886,2019-11-15,Aqua,MODIS,4.7,0,294.0,65,2019,11,2019-11-15
38.7437,-121.9692,2019-06-26,Terra,MODIS,24.2,0,307.0,85,2019,6,2019-06-26
38.7441,-122.7853,2019-10-25,Terra,MODIS,14.9,0,305.3,68,2019,10,2019-10-25
38.7443,-122.8155,2019-10-24,Terra,MODIS,13.2,0,295.0,94,2019,10,2019-10-24
38.745,-122.8045,2019-10-24,Aqua,MODIS,385.9,0,302.3,100,2019,10,2019-10-24
38.7453,-122.7694,2019-10-26,Terra,MODIS,29.3,0,292.8,100,2019,10,2019-10-26
38.7459,-122.7676,2019-10-25,Aqua,MODIS,37.5,0,300.2,60,2019,10,2019-10-25
38.7459,-122.7407,2019-10-27,Aqua,MODIS,115.6,0,283.9,100,2019,10,2019-10-27
38.7459,-121.9819,2019-06-26,Terra,MODIS,58.5,0,308.5,95,2019,6,2019-06-26
38.7475,-122.789,2019-10-24,Terra,MODIS,8.1,0,293.1,50,2019,10,2019-10-24
38.7476,-122.7487,2019-10-27,Terra,MODIS,64.5,0,294.6,95,2019,10,2019-10-27
38.749,-122.8236,2019-10-24,Aqua,MODIS,61.7,0,291.5,100,2019,10,2019-10-24
38.7493,-122.7619,2019-10-27,Terra,MODIS,53.3,0,294.6,93,2019,10,2019-10-27
38.7495,-114.7531,2019-11-01,Aqua,MODIS,34.6,0,284.6,87,2019,11,2019-11-01
38.7499,-120.9012,2019-01-12,Terra,MODIS,8.2,0,285.1,60,2019,1,2019-01-12
38.7508,-122.8417,2019-10-24,Terra,MODIS,19.7,0,294.6,100,2019,10,2019-10-24
38.7508,-122.7456,2019-10-26,Aqua,MODIS,37.2,0,292.5,100,2019,10,2019-10-26
38.7512,-122.7719,2019-10-25,Terra,MODIS,173.6,0,310.5,100,2019,10,2019-10-25
38.7521,-122.7796,2019-10-24,Aqua,MODIS,104.7,0,291.7,100,2019,10,2019-10-24
38.7523,-122.8294,2019-10-24,Terra,MODIS,875.1,0,313.0,100,2019,10,2019-10-24
38.7529,-122.7832,2019-10-25,Terra,MODIS,115.8,0,313.4,100,2019,10,2019-10-25
38.753,-121.9666,2019-06-26,Terra,MODIS,7.6,0,307.8,50,2019,6,2019-06-26
38.7531,-122.7587,2019-10-26,Aqua,MODIS,53.8,0,291.6,100,2019,10,2019-10-26
38.7532,-122.7952,2019-10-25,Aqua,MODIS,129.2,0,309.1,93,2019,10,2019-10-25
38.7533,-122.7547,2019-10-27,Terra,MODIS,36.4,0,292.4,88,2019,10,2019-10-27
38.7538,-122.8172,2019-10-24,Terra,MODIS,1910.5,0,379.9,100,2019,10,2019-10-24
38.7541,-122.7716,2019-10-26,Terra,MODIS,22.1,0,292.0,97,2019,10,2019-10-26
38.7549,-122.7678,2019-10-27,Terra,MODIS,18.3,0,294.2,67,2019,10,2019-10-27
38.7552,-121.9793,2019-06-26,Terra,MODIS,17.7,0,307.9,81,2019,6,2019-06-26
38.7554,-122.8039,2019-10-24,Terra,MODIS,654.5,0,319.7,100,2019,10,2019-10-24
38.7558,-122.7602,2019-10-26,Terra,MODIS,65.6,0,294.4,100,2019,10,2019-10-26
38.7561,-122.7993,2019-10-24,Aqua,MODIS,43.4,0,290.7,83,2019,10,2019-10-24
38.7562,-122.7905,2019-10-24,Terra,MODIS,583.7,0,296.9,100,2019,10,2019-10-24
38.7569,-122.791,2019-10-24,Terra,MODIS,24.0,0,297.8,100,2019,10,2019-10-24
38.7575,-122.7488,2019-10-26,Terra,MODIS,39.2,0,290.4,100,2019,10,2019-10-26
38.7585,-122.7706,2019-10-25,Aqua,MODIS,431.8,0,305.8,100,2019,10,2019-10-25
38.759,-122.7311,2019-10-27,Aqua,MODIS,48.5,0,282.6,64,2019,10,2019-10-27
38.7592,-122.7784,2019-10-25,Aqua,MODIS,316.5,0,307.6,100,2019,10,2019-10-25
38.7601,-122.8447,2019-10-24,Terra,MODIS,24.4,0,293.0,100,2019,10,2019-10-24
38.7601,-122.7698,2019-10-25,Terra,MODIS,29.4,0,304.9,87,2019,10,2019-10-25
38.7617,-122.8314,2019-10-24,Terra,MODIS,529.5,0,306.0,100,2019,10,2019-10-24
38.7623,-122.7848,2019-10-24,Aqua,MODIS,30.0,0,290.2,64,2019,10,2019-10-24
38.7633,-122.8184,2019-10-24,Terra,MODIS,1910.2,0,361.5,100,2019,10,2019-10-24
38.7641,-122.8518,2019-10-24,Terra,MODIS,16.3,0,291.7,96,2019,10,2019-10-24
38.7648,-122.8059,2019-10-24,Terra,MODIS,1484.2,0,353.0,100,2019,10,2019-10-24
38.7656,-122.839,2019-10-24,Terra,MODIS,19.8,0,293.4,100,2019,10,2019-10-24
38.7663,-122.7936,2019-10-24,Terra,MODIS,843.1,0,330.9,100,2019,10,2019-10-24
38.7664,-120.6097,2019-01-30,Terra,MODIS,17.7,0,281.9,71,2019,1,2019-01-30
38.7672,-122.8255,2019-10-24,Terra,MODIS,339.4,0,308.5,100,2019,10,2019-10-24
38.7678,-122.781,2019-10-24,Terra,MODIS,359.5,0,310.5,100,2019,10,2019-10-24
38.7687,-122.813,2019-10-24,Terra,MODIS,904.8,0,338.8,100,2019,10,2019-10-24
38.7701,-122.8008,2019-10-24,Terra,MODIS,440.0,0,334.1,100,2019,10,2019-10-24
38.7716,-122.7881,2019-10-24,Terra,MODIS,361.7,0,318.8,100,2019,10,2019-10-24
38.7732,-122.7749,2019-10-24,Terra,MODIS,107.1,0,302.6,100,2019,10,2019-10-24
38.775,-122.8408,2019-10-24,Terra,MODIS,15.5,0,292.7,96,2019,10,2019-10-24
38.7751,-122.7734,2019-10-24,Aqua,MODIS,40.8,0,287.2,55,2019,10,2019-10-24
38.7766,-122.8277,2019-10-24,Terra,MODIS,22.8,0,294.0,100,2019,10,2019-10-24
38.778,-122.8153,2019-10-24,Terra,MODIS,322.9,0,300.9,100,2019,10,2019-10-24
38.7792,-122.7936,2019-10-24,Aqua,MODIS,55.2,0,287.9,87,2019,10,2019-10-24
38.7795,-122.8028,2019-10-24,Terra,MODIS,1198.1,0,328.5,100,2019,10,2019-10-24
38.7808,-122.6985,2019-04-09,Terra,MODIS,4.8,0,293.0,56,2019,4,2019-04-09
38.7811,-122.7894,2019-10-24,Terra,MODIS,318.3,0,322.8,100,2019,10,2019-10-24
38.7821,-122.7,2019-04-10,Aqua,MODIS,6.3,0,298.0,54,2019,4,2019-04-10
38.7827,-122.776,2019-10-24,Terra,MODIS,163.7,0,310.1,100,2019,10,2019-10-24
38.7831,-122.8128,2019-10-24,Aqua,MODIS,152.1,0,290.1,100,2019,10,2019-10-24
38.7831,-120.5234,2019-01-31,Aqua,MODIS,22.8,0,289.6,83,2019,1,2019-01-31
38.7832,-122.8137,2019-10-24,Aqua,MODIS,69.4,0,288.0,78,2019,10,2019-10-24
38.7842,-122.7636,2019-10-24,Terra,MODIS,30.1,0,295.4,100,2019,10,2019-10-24
38.7847,-122.8109,2019-10-25,Terra,MODIS,46.3,0,307.0,94,2019,10,2019-10-25
38.7849,-120.5118,2019-01-31,Aqua,MODIS,30.4,0,287.8,86,2019,1,2019-01-31
38.7851,-122.6955,2019-04-29,Terra,MODIS,14.0,0,297.2,61,2019,4,2019-04-29
38.7861,-122.8293,2019-10-24,Terra,MODIS,12.2,0,292.5,91,2019,10,2019-10-24
38.7866,-122.8385,2019-10-25,Terra,MODIS,98.8,0,286.4,97,2019,10,2019-10-25
38.7869,-120.5103,2019-01-31,Terra,MODIS,24.6,0,286.6,66,2019,1,2019-01-31
38.7875,-122.9528,2019-03-18,Aqua,MODIS,5.2,0,298.2,53,2019,3,2019-03-18
38.7875,-122.8171,2019-10-24,Terra,MODIS,9.3,0,292.4,84,2019,10,2019-10-24
38.7883,-122.8235,2019-10-24,Terra,MODIS,54.3,0,289.2,50,2019,10,2019-10-24
38.7883,-122.6875,2019-03-13,Terra,MODIS,10.1,0,288.8,63,2019,3,2019-03-13
38.7887,-122.6886,2019-04-29,Terra,MODIS,10.7,0,297.4,51,2019,4,2019-04-29
38.7891,-122.8037,2019-10-24,Terra,MODIS,38.2,0,295.9,100,2019,10,2019-10-24
38.7892,-122.9414,2019-03-18,Aqua,MODIS,8.7,0,297.3,66,2019,3,2019-03-18
38.7892,-122.8018,2019-10-24,Aqua,MODIS,48.3,0,287.3,93,2019,10,2019-10-24
38.7898,-120.5512,2019-05-01,Aqua,MODIS,52.4,0,296.9,71,2019,5,2019-05-01
38.7906,-122.8158,2019-10-25,Aqua,MODIS,30.3,0,302.1,74,2019,10,2019-10-25
38.7906,-120.5446,2019-05-01,Aqua,MODIS,47.4,0,298.3,56,2019,5,2019-05-01
38.7907,-122.7905,2019-10-24,Terra,MODIS,209.9,0,307.9,100,2019,10,2019-10-24
38.7909,-122.0067,2019-11-22,Aqua,MODIS,15.2,0,295.1,80,2019,11,2019-11-22
38.7921,-122.7779,2019-10-24,Terra,MODIS,139.2,0,307.4,100,2019,10,2019-10-24
38.7921,-120.5256,2019-01-31,Aqua,MODIS,56.4,0,290.4,95,2019,1,2019-01-31
38.7927,-121.9952,2019-11-22,Aqua,MODIS,5.3,0,294.1,65,2019,11,2019-11-22
38.7936,-122.7658,2019-10-24,Terra,MODIS,99.8,0,299.1,100,2019,10,2019-10-24
38.7938,-120.514,2019-01-31,Aqua,MODIS,35.1,0,288.8,89,2019,1,2019-01-31
38.7945,-121.9911,2019-11-06,Aqua,MODIS,5.2,0,302.3,68,2019,11,2019-11-06
