STATION,NAME,LATITUDE,LONGITUDE
72495723213,"SANTA ROSA SONOMA CO AIRPORT, CA US",38.50369,-122.81101
72061500206,"COLUMBIA AIRPORT, CA US",38.033,-120.417
72295303183,"MOJAVE AIRPORT, CA US",35.06667,-118.15
99999953136,"MERCURY 3 SSW, NV US",36.624,-116.0225
72297553141,"LOS ALAMITOS ARMY AIR FIELD, CA US",33.79,-118.05194
74505753130,"LOS ANGELES WHITEMAN AIRPORT, CA US",34.25917,-118.41333
72295023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",33.93816,-118.3866
72289093136,"MOUNT WILSON, CA US",34.23333,-118.06667
72396593209,"PASO ROBLES MUNICIPAL AIRPORT, CA US",35.66936,-120.62918
72040600135,"GNOSS FIELD AIRPORT, CA US",38.15,-122.55
72382523131,"VICTORVILLE SOUTHERN CALIFORNIA INTERNATIONAL AIRPORT, CA US",34.58333,-117.38333
74917100479,"TEHACHAPI MUNICIPAL AIRPORT, CA US",35.1349,-118.4393
72061400205,"LINCOLN REGIONAL AIRPORT KARL HARDER FIELD, CA US",38.909,-121.351
74003503145,"YUMA MCAS, AZ US",32.65,-114.61667
72481523257,"MERCED MUNICIPAL AIRPORT, CA US",37.28597,-120.51788
72391093111,"POINT MUGU NF, CA US",34.12407,-119.12281
72497393203,"CHICO ARMY FLYING SCHOOL, CA US",39.8,-121.85
72392623136,"CAMARILLO AIRPORT, CA US",34.21142,-119.08762
74516023202,"TRAVIS FIELD AFB, CA US",38.26667,-121.93333
72492623258,"MODESTO AIRPORT, CA US",37.62544,-120.95492
72483023232,"SACRAMENTO AIRPORT ASOS, CA US",38.50659,-121.49604
72585093228,"HAYWARD AIR TERMINAL, CA US",37.65886,-122.12116
74505653120,"RAMONA AIRPORT, CA US",33.03801,-116.915979
72064500227,"PLACERVILLE AIRPORT, CA US",38.717,-120.75
72065200433,"BRIDGEPORT SONORA JUNCTION, CA US",38.3557,-119.519
74948500396,"ROHNERVILLE AIRPORT, CA US",40.554,-124.133
72074100269,"BOULDER CITY MUNICIPAL AIRPORT, NV US",35.947,-114.861
74704303165,"EL MONTE EMSU, CA US",34.08333,-118.03333
72483893205,"MARYSVILLE AIRPORT ASOS, CA US",39.10205,-121.56884
72584523225,"BLUE CANYON NYACK AIRPORT, CA US",39.27617,-120.70927
72281023199,"EL CENTRO NAF, CA US",32.83241,-115.66377
72293193107,"SAN DIEGO MIRAMAR NAS, CA US",32.86667,-117.13333
72594524283,"ARCATA EUREKA AIRPORT, CA US",40.97844,-124.10479
99401999999,"MONTEREY, CA US",36.605,-121.888
99401899999,"LA JOLLA, CA US",32.867,-117.258
72593023233,"SALINAS AIRPORT, CA US",36.66352,-121.60928
72389403181,"MAMMOTH LAKES MAMMOTH YOSEMITE AIRPORT, CA US",37.63333,-118.85
74948400395,"SOUTH CO AIRPORT OF SANTA CLARA CO, CA US",37.082,-121.597
72295603167,"HAWTHORNE MUNICIPAL AIRPORT, CA US",33.92353,-118.33291
72057600174,"UNIVERSITY AIRPORT, CA US",38.533,-121.783
72493723289,"PALO ALTO, CA US",37.46667,-122.11667
99999953154,"YUMA 27 ENE, AZ US",32.835,-114.1884
72493893231,"SAN CARLOS AIRPORT, CA US",37.51667,-122.25
72288023152,"BURBANK GLENDALE PASADENA AIRPORT, CA US",34.19966,-118.36543
72595724215,"MOUNT SHASTA, CA US",41.314893,-122.317127
72481023203,"CASTLE AFB, CA US",37.38333,-120.56667
74718703104,"DESERT RESORTS REGIONAL AIRPORT, CA US",33.63166,-116.16412
72491523259,"MONTEREY PENINSUL AIRPORT, CA US",36.59041,-121.84881
72594024213,"EUREKA WEATHER FORECAST OFFICE WOODLEY ISLAND, CA US",40.8097,-124.1602
72483323206,"SACRAMENTO MATHER AFB, CA US",38.56667,-121.3
72026723224,"AUBURN MUNICIPAL AIRPORT, CA US",38.95472,-121.08194
72288623130,"VAN NUYS AIRPORT, CA US",34.21214,-118.49146
99999953152,"SANTA BARBARA 11 W, CA US",34.4141,-119.8796
72483623208,"SACRAMENTO MCCLELLAN AFB, CA US",38.66667,-121.4
72317153144,"EDWARDS AFB NORTH AUXILIARY AIRFIELD, CA US",34.98833,-117.86472
72297793184,"SANTA ANA JOHN WAYNE AIRPORT, CA US",33.67975,-117.86746
72292703177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",33.12993,-117.27651
99847799999,"RICHMOND POINT POTRERO, CA US",37.906,-122.365
99847699999,"OAKLAND BERTH 34, CA US",37.811,-122.333
72494523293,"SAN JOSE, CA US",37.35938,-121.92444
99999953151,"FALLBROOK 5 NE, CA US",33.4392,-117.1904
99404199999,"REDWOOD CITY, CA US",37.507,-122.2
72290993115,"IMPERIAL BEACH REAM FIELD NAS, CA US",32.56797,-117.11715
99403699999,"RICHMOND, CA US",37.928,-122.4
72054900171,"CARSON AIRPORT, NV US",39.183,-119.733
72288703180,"LA VERNE BRACKETT FIELD, CA US",34.1,-117.78333
99999953150,"YOSEMITE VILLAGE 12 W, CA US",37.7592,-119.8208
74718503144,"IMPERIAL CO AIRPORT, CA US",32.83464,-115.57656
99999904222,"REDDING 12 WNW, CA US",40.6507,-122.6068
