event_id,start_date,end_date,duration_days,num_detections,latitude,longitude,max_frp,avg_frp,total_frp,max_confidence,avg_confidence,year,month,day
114,2017-03-03,2017-03-20,18,2,36.5782,-119.4847,9.5,7.7,15.4,72,70.0,2017,3,3
115,2017-03-20,2017-03-28,9,3,36.5985,-119.2841,38.5,28.96666666666667,86.9,72,63.0,2017,3,28
116,2017-03-20,2017-03-20,1,3,36.6234,-119.3766,14.5,10.533333333333333,31.6,81,73.33333333333333,2017,3,20
117,2017-03-01,2017-03-02,2,6,36.6114,-119.9378,31.1,16.400000000000002,98.4,78,61.5,2017,3,1
118,2017-03-01,2017-03-23,23,5,36.6657,-119.5034,66.7,24.88,124.39999999999999,100,74.6,2017,3,21
119,2017-03-20,2017-03-20,1,1,36.6723,-119.6511,8.8,8.8,8.8,76,76.0,2017,3,20
120,2017-03-06,2017-03-20,15,3,36.6821,-120.5113,27.9,19.566666666666666,58.699999999999996,87,77.66666666666667,2017,3,20
121,2017-03-01,2017-03-14,14,3,36.6939,-120.1565,38.3,18.166666666666664,54.49999999999999,80,69.0,2017,3,1
122,2017-03-23,2017-03-28,6,7,36.8405,-120.3956,80.8,38.27142857142858,267.90000000000003,97,77.0,2017,3,23
123,2017-03-08,2017-03-27,20,6,36.8019,-120.7062,74.3,38.666666666666664,232.0,96,82.33333333333333,2017,3,9
124,2017-03-04,2017-03-27,24,3,36.8667,-120.416,6.6,5.266666666666667,15.799999999999999,60,55.0,2017,3,23
125,2017-03-07,2017-03-07,1,1,36.907,-119.9514,9.4,9.4,9.4,53,53.0,2017,3,7
126,2017-03-23,2017-03-23,1,1,36.9152,-120.1261,23.2,23.2,23.2,77,77.0,2017,3,23
127,2017-03-06,2017-03-06,1,1,36.9424,-119.8084,13.7,13.7,13.7,70,70.0,2017,3,6
128,2017-03-08,2017-03-29,22,2,37.0645,-120.2096,23.2,15.05,30.1,65,61.5,2017,3,8
129,2017-03-02,2017-03-16,15,3,37.0073,-120.0526,20.4,14.566666666666665,43.699999999999996,72,66.0,2017,3,2
130,2017-03-14,2017-03-15,2,4,37.0468,-119.3921,51.2,27.05,108.2,73,66.0,2017,3,14
131,2017-03-01,2017-03-01,1,1,37.1038,-120.4163,17.4,17.4,17.4,68,68.0,2017,3,1
132,2017-03-20,2017-03-20,1,2,37.1122,-120.1561,8.7,8.399999999999999,16.799999999999997,67,64.0,2017,3,20
133,2017-03-20,2017-03-20,1,1,37.2072,-120.1769,18.5,18.5,18.5,61,61.0,2017,3,20
134,2017-03-29,2017-03-29,1,2,37.2546,-115.1153,38.2,29.950000000000003,59.900000000000006,81,78.0,2017,3,29
135,2017-03-03,2017-03-30,28,6,37.3374,-120.8119,32.6,14.200000000000001,85.2,81,67.5,2017,3,9
136,2017-03-09,2017-03-30,22,2,37.3341,-120.8178,16.5,10.8,21.6,59,57.5,2017,3,9
137,2017-03-09,2017-03-09,1,1,37.4086,-120.9289,4.4,4.4,4.4,54,54.0,2017,3,9
138,2017-03-03,2017-03-03,1,2,37.4595,-120.4918,8.2,7.0,14.0,64,61.5,2017,3,3
139,2017-03-27,2017-03-27,1,1,37.4341,-121.1559,6.1,6.1,6.1,66,66.0,2017,3,27
140,2017-03-27,2017-03-27,1,1,37.559,-120.8033,5.4,5.4,5.4,59,59.0,2017,3,27
141,2017-03-14,2017-03-14,1,1,37.5811,-121.0291,6.7,6.7,6.7,57,57.0,2017,3,14
142,2017-03-14,2017-03-14,1,1,37.6985,-121.2261,5.8,5.8,5.8,50,50.0,2017,3,14
143,2017-03-09,2017-03-09,1,1,37.7407,-120.6976,7.5,7.5,7.5,66,66.0,2017,3,9
144,2017-03-13,2017-03-15,3,14,37.8548,-119.9183,303.7,83.75,1172.5,100,76.14285714285714,2017,3,13
145,2017-03-01,2017-03-01,1,3,37.9539,-121.1586,20.8,15.833333333333334,47.5,76,68.66666666666667,2017,3,1
146,2017-03-29,2017-03-29,1,3,38.028,-120.5695,104.4,67.23333333333333,201.70000000000002,78,65.33333333333333,2017,3,29
147,2017-03-14,2017-03-14,1,1,38.1154,-121.167,4.9,4.9,4.9,64,64.0,2017,3,14
148,2017-03-04,2017-03-30,27,2,38.1583,-121.4745,11.6,7.949999999999999,15.899999999999999,71,67.0,2017,3,4
149,2017-03-31,2017-03-31,1,3,38.1972,-121.3174,24.6,19.599999999999998,58.8,70,60.333333333333336,2017,3,31
150,2017-03-16,2017-03-17,2,2,38.2933,-121.1357,15.2,14.55,29.1,70,67.0,2017,3,16
151,2017-03-29,2017-03-29,1,1,38.5644,-122.0158,12.4,12.4,12.4,71,71.0,2017,3,29
152,2017-03-09,2017-03-09,1,2,38.6402,-121.1658,6.7,6.6,13.2,51,50.5,2017,3,9
153,2017-03-23,2017-03-23,1,1,38.7534,-119.356,8.4,8.4,8.4,70,70.0,2017,3,23
154,2017-03-11,2017-03-16,6,6,38.8391,-122.7228,13.0,10.833333333333334,65.0,70,63.5,2017,3,14
155,2017-03-13,2017-03-28,16,6,38.9,-122.7812,14.6,10.15,60.900000000000006,70,60.833333333333336,2017,3,14
156,2017-03-28,2017-03-31,4,2,38.9043,-122.074,34.0,18.95,37.9,73,65.0,2017,3,31
157,2017-03-16,2017-03-16,1,1,38.9541,-119.1233,13.8,13.8,13.8,69,69.0,2017,3,16
158,2017-03-17,2017-03-17,1,1,38.961,-118.828,31.3,31.3,31.3,53,53.0,2017,3,17
159,2017-03-27,2017-03-27,1,2,39.0221,-122.1516,21.4,17.049999999999997,34.099999999999994,81,77.0,2017,3,27
160,2017-03-02,2017-03-30,29,5,39.1714,-121.1123,8.8,6.640000000000001,33.2,67,60.8,2017,3,30
161,2017-03-20,2017-03-20,1,1,39.191,-121.7008,19.7,19.7,19.7,79,79.0,2017,3,20
162,2017-03-14,2017-03-14,1,1,39.2283,-122.2434,20.7,20.7,20.7,83,83.0,2017,3,14
163,2017-03-20,2017-03-20,1,2,39.4153,-121.1972,15.5,11.9,23.8,73,66.0,2017,3,20
164,2017-03-30,2017-03-30,1,1,39.4203,-122.2834,9.7,9.7,9.7,63,63.0,2017,3,30
