latitude,longitude,acq_date,satellite,instrument,frp,type,bright_t31,confidence,year,month,datetime,day,confidence_level,frp_category
40.9957,-123.4587,2013-08-19,Aqua,MODIS,24.5,0,292.7,93,2013,8,2013-08-19,19,high,medium-low
40.9961,-123.4603,2013-08-19,Terra,MODIS,27.1,0,293.1,84,2013,8,2013-08-19,19,high,medium-low
40.9963,-123.4612,2013-08-19,Aqua,MODIS,77.4,0,299.4,93,2013,8,2013-08-19,19,high,medium-high
40.9969,-123.4775,2013-08-20,Terra,MODIS,14.0,0,292.3,55,2013,8,2013-08-20,20,medium,low
40.9969,-123.4586,2013-08-21,Terra,MODIS,124.8,0,292.1,100,2013,8,2013-08-21,21,high,high
40.9972,-123.4544,2013-08-21,Terra,MODIS,17.8,0,299.5,54,2013,8,2013-08-21,21,medium,low
40.9972,-123.45,2013-08-24,Aqua,MODIS,127.6,0,299.4,100,2013,8,2013-08-24,24,high,high
40.9974,-123.4773,2013-08-19,Aqua,MODIS,17.1,0,292.7,82,2013,8,2013-08-19,19,high,low
40.9976,-123.4522,2013-08-21,Terra,MODIS,130.6,0,292.3,100,2013,8,2013-08-21,21,high,high
40.9979,-123.4618,2013-08-19,Terra,MODIS,119.2,0,300.9,100,2013,8,2013-08-19,19,high,high
40.998000000000005,-123.468,2013-08-19,Terra,MODIS,50.6,0,293.9,100,2013,8,2013-08-19,19,high,medium-high
40.9983,-123.4651,2013-08-20,Terra,MODIS,83.6,0,293.1,100,2013,8,2013-08-20,20,high,medium-high
40.9984,-123.471,2013-08-15,Aqua,MODIS,13.6,0,301.6,55,2013,8,2013-08-15,15,medium,low
40.9989,-123.4383,2013-08-24,Aqua,MODIS,54.9,0,296.6,96,2013,8,2013-08-24,24,high,medium-high
40.9991,-123.4717,2013-08-18,Terra,MODIS,74.5,0,290.3,100,2013,8,2013-08-18,18,high,medium-high
40.9992,-123.475,2013-08-22,Terra,MODIS,16.9,0,292.2,68,2013,8,2013-08-22,22,medium,low
40.9993,-123.4648,2013-08-21,Aqua,MODIS,64.8,0,298.9,61,2013,8,2013-08-21,21,medium,medium-high
41.0,-123.4744,2013-08-19,Terra,MODIS,70.7,0,301.4,97,2013,8,2013-08-19,19,high,medium-high
41.0006,-123.4782,2013-08-21,Terra,MODIS,32.7,0,302.5,88,2013,8,2013-08-21,21,high,medium-low
41.0012,-123.4778,2013-08-15,Terra,MODIS,9.8,0,288.7,74,2013,8,2013-08-15,15,high,low
41.0013,-123.477,2013-08-17,Aqua,MODIS,66.1,0,304.1,96,2013,8,2013-08-17,17,high,medium-high
41.0014,-123.5035,2013-08-21,Terra,MODIS,47.5,0,290.3,83,2013,8,2013-08-21,21,high,medium-high
41.0014,-123.4869,2013-08-14,Terra,MODIS,81.7,0,288.2,85,2013,8,2013-08-14,14,high,medium-high
41.0015,-123.472,2013-08-20,Terra,MODIS,642.4,0,290.9,100,2013,8,2013-08-20,20,high,high
41.0017,-123.4151,2013-08-24,Aqua,MODIS,14.0,0,285.5,73,2013,8,2013-08-24,24,high,low
41.0021,-123.486,2013-08-17,Terra,MODIS,23.6,0,288.0,78,2013,8,2013-08-17,17,high,medium-low
41.0021,-123.4364,2013-08-23,Aqua,MODIS,54.8,0,295.9,65,2013,8,2013-08-23,23,medium,medium-high
41.0022,-123.4288,2013-08-23,Aqua,MODIS,48.2,0,295.3,61,2013,8,2013-08-23,23,medium,medium-high
41.0023,-123.4973,2013-08-21,Terra,MODIS,72.7,0,290.5,96,2013,8,2013-08-21,21,high,medium-high
41.0025,-123.4894,2013-08-24,Terra,MODIS,17.3,0,286.8,75,2013,8,2013-08-24,24,high,low
41.0027,-123.458,2013-08-18,Terra,MODIS,72.6,0,299.6,72,2013,8,2013-08-18,18,high,medium-high
41.0027,-123.4516,2013-08-22,Terra,MODIS,97.3,0,295.9,100,2013,8,2013-08-22,22,high,medium-high
41.0028,-123.4887,2013-08-24,Aqua,MODIS,21.5,0,286.3,100,2013,8,2013-08-24,24,high,medium-low
41.0028,-123.4283,2013-08-21,Terra,MODIS,68.1,0,306.3,98,2013,8,2013-08-21,21,high,medium-high
